ym:s:regionCountry,ym:s:regionCity,ym:s:visits,ym:s:users,ym:s:bounceRate
Россия,Новосибирск,223.0,139.0,17.93721973
Россия,None,102.0,72.0,21.56862745
Россия,Красноярск,44.0,34.0,31.81818182
Россия,Москва,20.0,19.0,85.0
Россия,Санкт-Петербург,10.0,6.0,30.0
Россия,Домодедово,4.0,4.0,25.0
Германия,Франкфурт-на-Майне,3.0,2.0,33.33333333
Россия,Татарск,3.0,1.0,33.33333333
Россия,Карасук,2.0,1.0,0.0
Россия,Нижний Новгород,2.0,2.0,0.0
Россия,Ростов-на-Дону,2.0,2.0,0.0
Россия,Бердск,1.0,1.0,0.0
США,None,1.0,1.0,100.0
